Brand_name,Brand_url,Brand_Introduction,Brand_Price,Brand_Version
Grande Cosmetics,https://www.sephora.com/product/lash-brow-transformation-enhancing-serums-P433892?icid2=products%20grid:p433892:product,Lash & Brow Transformation Enhancing Serums,$45.00 ,Limited Edition
Est¨¦e Lauder,https://www.sephora.com/product/repair-renew-for-radiant-youthful-looking-skin-P436902?icid2=products%20grid:p436902:product,"Repair and Renew for Radiant, Youthful - Looking Skin",$98.00 ,Online Only
SEPHORA COLLECTION,https://www.sephora.com/product/glitter-o-clock-brush-set-P426092?icid2=products%20grid:p426092:product,Glitter O'Clock Brush Set,,Limited Edition
HUDA BEAUTY,https://www.sephora.com/product/liquid-matte-minis-P420241?icid2=products%20grid:p420241:product,Liquid Matte Minis,$33.00 ,Limited edition
Sephora Favorites,https://www.sephora.com/product/sunkissed-glow-P431411?icid2=products%20grid:p431411:product,Sunkissed Glow,$40.00 ,Limited Edition
Verb,https://www.sephora.com/product/ghost-shampoo-conditioner-liter-duo-P435397?icid2=products%20grid:p435397:product,Ghost? Shampoo & Conditioner Liter Duo,$60.00 ,Limited Edition
Kat Von D,https://www.sephora.com/product/fetish-eyeshadow-palette-P437308?icid2=products%20grid:p437308:product,Fetish Eyeshadow Palette,$63.00 ,Limited Edition
Fresh,https://www.sephora.com/product/facial-on-fly-P436348?icid2=products%20grid:p436348:product,Facial on the Fly,$25.00 ,Limited Edition
BECCA,https://www.sephora.com/product/shimmering-skin-perfector-opal-glow-on-go-P401784?icid2=products%20grid:p401784:product,Glow on the Go Highlighter Set,$20.00 ,Limited Edition
UrbanDecay,https://www.sephora.com/product/hex-remedy-mini-24-7-eye-pencil-set-P436034?icid2=products%20grid:p436034:product,Hex Remedy Mini 24/7 Eye Pencil Set,$29.00 ,Limited Edition
Briogeo,https://www.sephora.com/product/superfoods-shampoo-conditioner-hair-pack-P431542?icid2=products%20grid:p431542:product,Superfoods Hair Pack,$48.00 ,
Anastasia Beverly Hills,https://www.sephora.com/product/nude-matte-lipstick-set-P428227?icid2=products%20grid:p428227:product,Nude Matte Lipstick Set,$21.00 ,Limited Edition
Sephora Favorites,https://www.sephora.com/product/superstars-kit-P436328?icid2=products%20grid:p436328:product,Superstars Kit,$75.00 ,
HUM Nutrition,https://www.sephora.com/product/the-sweetest-thing-P436920?icid2=products%20grid:p436920:product,The Sweetest Thing,$39.00 ,Limited Edition
Anastasia Beverly Hills,https://www.sephora.com/product/sugar-glow-kit-P423925?icid2=products%20grid:p423925:product,Sugar Glow Kit,$40.00 ,
OLEHENRIKSEN,https://www.sephora.com/product/3-little-wonders-mini-P389051?icid2=products%20grid:p389051:product,3 Little Wonders? Mini,$25.00 ,Exclusive
IT Cosmetics,https://www.sephora.com/product/it-s-time-to-celebrate-you-P436127?icid2=products%20grid:p436127:product,IT's Time To Celebrate You!,$48.00 ,Limited Edition
Dr.Jart+,https://www.sephora.com/product/maskapalooza-every-mask-every-concern-P436333?icid2=products%20grid:p436333:product,"Maskapalooza! Every Mask, Every Concern",$139.00 ,Limited Edition
